bar_ix,session,open,high,low,close
31,3,1.0041,1.0056,1.0015,1.0015
32,3,1.0015,1.0026,0.9992,1.002
33,3,1.0019,1.0022,1.0001,1.0001
34,3,1.0,1.0012,0.9991,1.0004
35,3,1.0001,1.0001,0.9986,0.9987
36,3,0.9989,1.0003,0.9981,0.9995
37,3,0.9996,1.002,0.9992,1.002
38,3,1.0022,1.0024,1.0006,1.0022
39,3,1.0023,1.0024,1.0011,1.0013
40,3,1.0015,1.0017,0.9988,1.0006
41,3,1.0004,1.0048,0.9998,1.0048
42,3,1.0049,1.007,1.0039,1.0053
43,3,1.0054,1.0085,1.0042,1.0083
44,3,1.0082,1.0117,1.0082,1.011
45,3,1.0111,1.0133,1.0101,1.0114
46,3,1.0114,1.0116,1.0083,1.0084
47,3,1.0084,1.0108,1.0073,1.0097
48,3,1.0097,1.0099,1.0072,1.0078
49,3,1.008,1.0113,1.0072,1.0113
0,4,1.0,1.0031,0.9996,1.0009
1,4,1.0008,1.0017,0.9994,1.0004
2,4,1.0005,1.0021,0.9994,0.9995
3,4,0.9997,1.0018,0.9984,0.9984
4,4,0.9992,1.0015,0.9986,0.9993
5,4,0.9993,0.9996,0.9971,0.9986
6,4,0.998,1.0001,0.9952,0.9986
7,4,0.9985,0.9987,0.9942,0.9942
8,4,0.994,0.9959,0.9928,0.9951
9,4,0.9953,0.9983,0.9953,0.9979
10,4,0.9983,0.9988,0.9941,0.9947
11,4,0.9945,0.9957,0.9936,0.9948
12,4,0.9949,0.9986,0.9949,0.9986
13,4,0.9986,0.9991,0.9977,0.9979
14,4,0.9977,1.0,0.997,1.0
15,4,1.0001,1.002,0.9992,1.0019
16,4,1.002,1.0034,1.0012,1.0023
17,4,1.0025,1.0032,1.0016,1.0024
18,4,1.0027,1.0054,1.0019,1.0031
19,4,1.0031,1.0075,1.0031,1.0074
20,4,1.0073,1.0105,1.0061,1.0104
21,4,1.0101,1.0142,1.0096,1.0141
22,4,1.0143,1.0154,1.0123,1.0126
23,4,1.0126,1.0144,1.0106,1.0139
24,4,1.0141,1.019,1.0139,1.019
25,4,1.0188,1.0197,1.0139,1.0144
26,4,1.0145,1.0153,1.0138,1.015
27,4,1.0148,1.0173,1.0142,1.0157
28,4,1.016,1.0169,1.0126,1.0135
29,4,1.0132,1.0136,1.0117,1.0126
30,4,1.0125,1.014,1.0097,1.01
31,4,1.0099,1.0144,1.0097,1.014
32,4,1.0139,1.0142,1.0116,1.0132
33,4,1.0133,1.014,1.0119,1.0128
34,4,1.0125,1.0153,1.0125,1.0148
35,4,1.0148,1.0166,1.014,1.0151
36,4,1.0153,1.0159,1.012,1.0142
37,4,1.0143,1.0152,1.0123,1.0131
38,4,1.0133,1.0167,1.0133,1.0167
39,4,1.0165,1.0222,1.0164,1.0217
40,4,1.0215,1.0236,1.0213,1.0224
41,4,1.0223,1.0259,1.0212,1.0251
42,4,1.0252,1.0252,1.0224,1.0229
43,4,1.0229,1.0235,1.0201,1.021
44,4,1.0209,1.0209,1.0179,1.0197
45,4,1.0193,1.0244,1.0193,1.0233
46,4,1.0233,1.0243,1.0216,1.0243
47,4,1.0243,1.0279,1.0242,1.0272
48,4,1.0272,1.0304,1.0267,1.0303
49,4,1.0297,1.0309,1.0275,1.028
0,5,1.0,1.003,0.9994,1.0021
1,5,1.0024,1.0043,1.0008,1.0034
2,5,1.0035,1.0039,1.0002,1.0032
3,5,1.0032,1.0032,0.9999,0.9999
4,5,0.9999,1.0006,0.9982,0.9994
5,5,0.9997,0.9997,0.9962,0.9986
6,5,0.9986,1.0,0.9947,0.9947
7,5,0.995,0.9954,0.9924,0.993
8,5,0.9929,0.9982,0.9929,0.9965
9,5,0.9958,1.0024,0.9948,1.0017
10,5,1.0019,1.0019,1.0001,1.0014
11,5,1.0011,1.0037,0.9985,1.0036
12,5,1.0031,1.0048,1.0021,1.0037
13,5,1.0036,1.0037,1.0014,1.0025
14,5,1.0028,1.0047,1.0013,1.0037
15,5,1.0037,1.0051,1.0012,1.005
16,5,1.005,1.0064,1.0031,1.0062
17,5,1.0061,1.0079,1.0052,1.006
18,5,1.0059,1.0083,1.0055,1.0069
19,5,1.007,1.0072,1.0055,1.0066
20,5,1.0063,1.0118,1.006,1.0116
21,5,1.0112,1.0117,1.0096,1.0099
22,5,1.0102,1.0106,1.0071,1.0075
23,5,1.0075,1.008,1.0038,1.0038
24,5,1.0039,1.0114,1.0035,1.0104
25,5,1.0103,1.0105,1.006,1.0088
26,5,1.0088,1.0088,1.0052,1.0066
27,5,1.0072,1.0085,1.0062,1.0073
28,5,1.0078,1.0109,1.0075,1.0087
29,5,1.0086,1.0107,1.0058,1.0058
30,5,1.0056,1.006,1.0022,1.0023
31,5,1.0022,1.0041,0.9989,0.999
32,5,0.999,0.9994,0.996,0.9972
33,5,0.9976,0.9991,0.9957,0.9957
34,5,0.9951,0.9955,0.9915,0.9929
35,5,0.993,0.9946,0.992,0.9941
36,5,0.9943,0.9959,0.9897,0.9904
37,5,0.9906,0.9962,0.9887,0.9962
38,5,0.9963,0.9965,0.9942,0.9957
39,5,0.9956,0.9968,0.994,0.9962
40,5,0.9963,0.9977,0.9948,0.9963
41,5,0.9961,0.9982,0.9955,0.997
42,5,0.9972,0.9993,0.9966,0.9989
43,5,0.9991,1.0039,0.9987,1.0026
44,5,1.0022,1.0026,0.9992,0.9997
45,5,0.9996,1.0001,0.9974,0.9997
46,5,0.9999,1.0014,0.997,0.9999
47,5,1.0001,1.0024,0.9983,1.0024
48,5,1.0022,1.0032,1.0001,1.0012
49,5,1.0009,1.0013,0.9972,0.9972
0,6,1.0,1.0019,0.998,0.9997
1,6,1.0001,1.0015,0.9967,1.0012
2,6,1.0012,1.0032,1.0008,1.0032
3,6,1.0036,1.0054,1.0023,1.005
4,6,1.005,1.0077,1.0049,1.0061
5,6,1.006,1.0081,1.0047,1.0081
6,6,1.0078,1.0092,1.003,1.0031
7,6,1.0034,1.0065,1.0031,1.0031
8,6,1.0031,1.0045,1.0008,1.0014
9,6,1.0014,1.002,0.9981,0.9981
10,6,0.9981,0.9981,0.9938,0.9941
11,6,0.9939,0.9948,0.9912,0.9936
12,6,0.9936,0.9936,0.9911,0.9924
13,6,0.9923,0.9941,0.9911,0.9923
14,6,0.9921,0.9934,0.9907,0.9917
15,6,0.9917,0.9967,0.9917,0.9941
16,6,0.9943,0.995,0.9937,0.994
17,6,0.9935,0.9971,0.9918,0.9922
18,6,0.9925,0.993,0.9889,0.9896
19,6,0.9897,0.9934,0.9896,0.991
20,6,0.9908,0.9945,0.9908,0.9934
21,6,0.9933,0.9951,0.9925,0.994
22,6,0.9942,0.9948,0.9907,0.9924
23,6,0.9926,0.9939,0.9914,0.9937
24,6,0.9937,0.9937,0.9904,0.9919
25,6,0.9923,0.9936,0.9914,0.9932
26,6,0.9932,0.996,0.9927,0.9957
27,6,0.9958,0.9984,0.9946,0.9978
28,6,0.9981,0.9995,0.9965,0.9968
29,6,0.9968,0.9988,0.9962,0.9988
30,6,0.9989,1.0057,0.9989,1.004
31,6,1.004,1.0043,1.001,1.0013
32,6,1.0008,1.0021,0.9988,1.0021
33,6,1.0024,1.0032,0.9999,1.0019
34,6,1.0014,1.0047,1.0,1.0028
35,6,1.0032,1.0046,1.0015,1.0028
36,6,1.0027,1.0029,0.9997,1.001
37,6,1.0008,1.0032,1.0,1.0028
38,6,1.0031,1.0049,1.0026,1.0046
39,6,1.0048,1.0055,1.0012,1.0028
40,6,1.0027,1.0085,1.0026,1.0079
41,6,1.008,1.0089,1.0066,1.0069
42,6,1.0071,1.0087,1.0061,1.0069
43,6,1.0071,1.0096,1.0061,1.0089
44,6,1.0087,1.0107,1.0077,1.01
45,6,1.0099,1.0107,1.0075,1.0092
46,6,1.0094,1.0095,1.0068,1.0073
47,6,1.0075,1.0108,1.0072,1.0108
48,6,1.011,1.0115,1.0082,1.0105
49,6,1.0108,1.0164,1.0107,1.0147
0,7,1.0,1.0033,0.9999,1.0025
1,7,1.0026,1.0045,1.0024,1.0042
2,7,1.0042,1.006,1.0036,1.0049
3,7,1.0049,1.0071,1.0041,1.0068
4,7,1.0069,1.0075,1.0051,1.0055
5,7,1.0053,1.0074,1.0053,1.0058
6,7,1.0056,1.0075,1.0043,1.007
7,7,1.0066,1.0071,1.0042,1.0046
8,7,1.0047,1.0105,1.0042,1.0102
9,7,1.01,1.0122,1.0091,1.0099
10,7,1.0101,1.0145,1.0101,1.0145
11,7,1.0147,1.0154,1.0136,1.015
12,7,1.0151,1.0191,1.015,1.0189
13,7,1.019,1.0213,1.0189,1.019
14,7,1.019,1.0194,1.017,1.0191
15,7,1.019,1.0215,1.019,1.0213
16,7,1.0213,1.0241,1.0204,1.0204
17,7,1.0201,1.0233,1.0201,1.0219
18,7,1.0221,1.0229,1.021,1.0214
19,7,1.0212,1.0235,1.0207,1.023
20,7,1.0232,1.0232,1.0194,1.02
21,7,1.0203,1.024,1.0202,1.0235
22,7,1.0231,1.0244,1.022,1.0223
23,7,1.0227,1.0227,1.0182,1.0186
24,7,1.0187,1.0193,1.0146,1.0152
25,7,1.0153,1.0157,1.014,1.0146
26,7,1.0141,1.015,1.0126,1.0143
27,7,1.0143,1.0152,1.0117,1.0117
28,7,1.0118,1.0119,1.0092,1.0104
29,7,1.0103,1.0112,1.0091,1.0103
30,7,1.0103,1.0106,1.0076,1.0089
31,7,1.0087,1.0091,1.0048,1.0056
32,7,1.0057,1.0057,1.0029,1.0054
33,7,1.0055,1.0079,1.0051,1.007
34,7,1.0071,1.0086,1.0065,1.0081
35,7,1.0082,1.0082,1.006,1.0078
36,7,1.0076,1.0112,1.0074,1.011
37,7,1.0112,1.0153,1.0112,1.0153
38,7,1.0153,1.016,1.0131,1.0152
39,7,1.0149,1.0196,1.0145,1.0187
40,7,1.019,1.0206,1.0182,1.0196
41,7,1.0196,1.0241,1.0196,1.0208
42,7,1.0211,1.025,1.0211,1.0249
43,7,1.0248,1.026,1.022,1.0224
44,7,1.0221,1.0231,1.0208,1.0215
45,7,1.0212,1.0226,1.0202,1.0204
46,7,1.0207,1.0214,1.0185,1.0191
47,7,1.019,1.02,1.0169,1.018
48,7,1.018,1.0196,1.0169,1.0186
49,7,1.0185,1.0186,1.0159,1.0163
0,8,1.0,1.0026,1.0,1.0025
1,8,1.0023,1.0038,1.0011,1.0032
2,8,1.0032,1.0032,1.0003,1.0006
3,8,1.0004,1.0026,0.9994,0.9998
4,8,0.9997,1.0048,0.9997,1.0043
5,8,1.0048,1.0048,1.0024,1.0046
6,8,1.0048,1.006,1.0039,1.0039
7,8,1.0037,1.0052,1.0022,1.0024
8,8,1.0023,1.0056,1.0023,1.0041
9,8,1.0043,1.0096,1.0035,1.0088
10,8,1.0086,1.0116,1.0083,1.0108
11,8,1.0109,1.0117,1.0077,1.0084
12,8,1.0086,1.0096,1.007,1.0077
13,8,1.0077,1.009,1.007,1.0071
14,8,1.007,1.0087,1.0062,1.0084
15,8,1.0085,1.0091,1.0072,1.0087
16,8,1.0083,1.0093,1.0075,1.0093
17,8,1.0089,1.0089,1.0034,1.0036
18,8,1.0035,1.0066,1.0033,1.0058
19,8,1.0059,1.007,1.0048,1.0053
20,8,1.0053,1.0066,1.004,1.0066
21,8,1.0066,1.0104,1.0063,1.0104
22,8,1.0106,1.0113,1.0078,1.0093
23,8,1.0097,1.0102,1.008,1.01
24,8,1.0101,1.0123,1.01,1.0111
25,8,1.0112,1.0135,1.0109,1.0114
26,8,1.0111,1.0117,1.0096,1.0116
27,8,1.0116,1.014,1.0097,1.013
28,8,1.0131,1.0146,1.0124,1.0127
29,8,1.0128,1.0128,1.0105,1.0111
30,8,1.0109,1.0143,1.0106,1.0136
31,8,1.0134,1.0137,1.0109,1.0109
32,8,1.0107,1.0107,1.0079,1.0085
33,8,1.0085,1.0129,1.0085,1.0112
34,8,1.0112,1.0125,1.0098,1.01
35,8,1.0099,1.0145,1.0099,1.0139
36,8,1.0139,1.0158,1.0139,1.0151
37,8,1.0154,1.017,1.0145,1.0159
38,8,1.0159,1.0174,1.0145,1.0153
39,8,1.0154,1.0159,1.0125,1.0136
40,8,1.0133,1.0178,1.0132,1.0172
41,8,1.017,1.0181,1.0158,1.0165
42,8,1.0167,1.017,1.0131,1.0131
43,8,1.0131,1.0156,1.0131,1.015
44,8,1.015,1.0167,1.0144,1.0154
45,8,1.0158,1.0162,1.0142,1.0162
46,8,1.0164,1.0164,1.0142,1.0149
47,8,1.015,1.0167,1.0142,1.0167
48,8,1.0167,1.017,1.0153,1.0161
49,8,1.0154,1.0157,1.0134,1.0153
0,9,1.0,1.0029,0.9999,1.0016
1,9,1.0019,1.0024,0.9983,1.0021
2,9,1.0016,1.003,0.9998,1.0005
3,9,1.0,1.0013,0.9983,0.999
4,9,0.9993,0.9993,0.996,0.9966
5,9,0.9968,0.9969,0.9925,0.9941
6,9,0.9942,0.9967,0.994,0.9963
7,9,0.9964,0.9978,0.9956,0.9962
8,9,0.9957,0.9962,0.9858,0.9862
9,9,0.9861,0.9873,0.9827,0.9841
10,9,0.9842,0.9843,0.9789,0.9805
11,9,0.9811,0.9819,0.9778,0.9783
12,9,0.9787,0.9794,0.9766,0.9767
13,9,0.9775,0.9779,0.9744,0.9745
14,9,0.9739,0.9748,0.9679,0.9689
15,9,0.9691,0.9694,0.9672,0.9677
16,9,0.9677,0.9677,0.9649,0.9665
17,9,0.9667,0.9669,0.9614,0.9628
18,9,0.9628,0.9659,0.9621,0.965
19,9,0.9654,0.9706,0.9651,0.9698
20,9,0.9696,0.9697,0.9658,0.9685
21,9,0.969,0.969,0.9664,0.9677
22,9,0.9682,0.9704,0.9669,0.9685
23,9,0.9686,0.9696,0.9668,0.9669
24,9,0.9666,0.9685,0.965,0.9651
25,9,0.9654,0.9655,0.9606,0.9619
26,9,0.9623,0.9646,0.9619,0.962
27,9,0.9621,0.9638,0.9597,0.9603
28,9,0.9606,0.9649,0.9593,0.9649
29,9,0.9648,0.9662,0.9617,0.9617
30,9,0.9618,0.9651,0.9599,0.965
31,9,0.9649,0.966,0.9618,0.964
32,9,0.9641,0.9653,0.9609,0.9609
33,9,0.961,0.9626,0.9588,0.9622
34,9,0.9624,0.965,0.9597,0.9644
35,9,0.9644,0.9684,0.9643,0.9663
36,9,0.9668,0.9692,0.9663,0.9685
37,9,0.9688,0.9721,0.9675,0.9716
38,9,0.971,0.974,0.9699,0.971
39,9,0.971,0.9728,0.9682,0.9682
40,9,0.9683,0.9683,0.9655,0.9661
41,9,0.966,0.9668,0.9614,0.9618
42,9,0.9618,0.9641,0.9574,0.9581
43,9,0.958,0.9606,0.9579,0.9606
44,9,0.9607,0.9624,0.9584,0.9595
45,9,0.9599,0.9646,0.9597,0.9645
46,9,0.9644,0.9656,0.9613,0.9616
47,9,0.9614,0.9633,0.9598,0.9615
48,9,0.9617,0.9617,0.9586,0.9609
49,9,0.961,0.9612,0.9565,0.9593
0,10,1.0,1.002,1.0,1.0012
1,10,1.0014,1.0014,0.9991,0.9992
2,10,0.9993,1.0,0.9979,0.9995
3,10,0.9997,1.0016,0.9991,0.9996
4,10,0.9998,1.0008,0.9988,0.9994
5,10,0.9993,1.0,0.9962,0.997
6,10,0.9968,0.997,0.9934,0.9946
7,10,0.9943,0.9967,0.9942,0.9959
8,10,0.9961,0.9965,0.9931,0.9949
9,10,0.9947,0.9986,0.9946,0.9977
10,10,0.9977,0.9992,0.9961,0.9967
11,10,0.9965,0.9972,0.9948,0.9956
12,10,0.9956,0.9986,0.9956,0.9978
13,10,0.9979,1.0003,0.9975,1.0003
14,10,1.0004,1.0008,0.9977,0.9985
15,10,0.9986,1.0012,0.9986,1.0007
16,10,1.0003,1.0031,1.0003,1.0016
17,10,1.0017,1.0021,0.9985,0.9989
18,10,0.999,1.0002,0.9981,1.0002
19,10,1.0,1.0007,0.9986,1.0005
20,10,1.0009,1.001,0.9983,0.9984
21,10,0.9987,1.0001,0.9979,0.9986
22,10,0.9982,0.9996,0.9968,0.9992
23,10,0.999,0.9992,0.9958,0.9962
24,10,0.9963,0.9969,0.994,0.9943
25,10,0.9944,0.9977,0.9941,0.9967
26,10,0.9965,1.0012,0.9965,0.9999
27,10,0.9999,1.0008,0.9989,1.0001
28,10,1.0,1.0016,0.9988,0.9994
29,10,0.9993,0.9999,0.998,0.998
30,10,0.9981,0.9991,0.9961,0.9976
31,10,0.9977,0.9989,0.9971,0.9983
32,10,0.9982,0.9983,0.9963,0.9967
33,10,0.9968,0.9973,0.9953,0.996
34,10,0.9963,0.9971,0.9936,0.9939
35,10,0.9935,0.9936,0.9918,0.9927
36,10,0.993,0.9959,0.993,0.995
37,10,0.995,0.9965,0.9945,0.995
38,10,0.9946,0.9946,0.9908,0.9908
39,10,0.9911,0.9913,0.9878,0.9911
40,10,0.9908,0.9936,0.9901,0.9922
41,10,0.9921,0.9921,0.9891,0.9892
42,10,0.9895,0.9931,0.9894,0.9931
43,10,0.9932,0.9953,0.9918,0.9947
44,10,0.9946,0.9963,0.9925,0.993
45,10,0.9931,0.9988,0.9926,0.9975
46,10,0.9977,1.0011,0.9972,0.9996
47,10,0.9996,1.0002,0.9981,0.9986
48,10,0.9983,1.0046,0.9977,1.0046
49,10,1.0048,1.0054,1.0025,1.0026
0,11,1.0,1.0005,0.996,0.9965
1,11,0.9967,0.997,0.9944,0.9947
2,11,0.9949,0.9949,0.9896,0.9906
3,11,0.9907,0.9953,0.9892,0.9953
4,11,0.9952,0.9971,0.9883,0.9891
5,11,0.9894,0.9914,0.9878,0.9914
6,11,0.9907,0.9938,0.9903,0.9938
7,11,0.9933,0.9941,0.9899,0.9907
8,11,0.9905,0.9931,0.9894,0.9908
9,11,0.9907,0.9935,0.9901,0.9902
10,11,0.9897,0.9951,0.9893,0.9951
11,11,0.9946,0.9955,0.9922,0.9955
12,11,0.9957,0.9967,0.9919,0.9928
13,11,0.9927,0.9928,0.9875,0.9913
14,11,0.9913,0.9929,0.9881,0.991
15,11,0.9911,0.9946,0.9908,0.9911
16,11,0.9912,0.9948,0.9908,0.9931
17,11,0.9929,0.9929,0.9895,0.9917
18,11,0.9917,0.9963,0.9905,0.9956
19,11,0.9953,0.996,0.9904,0.9906
20,11,0.9904,0.9924,0.9898,0.9918
21,11,0.9921,0.9949,0.9913,0.9939
22,11,0.9928,0.9974,0.9923,0.9969
23,11,0.9971,0.9984,0.9937,0.9961
24,11,0.9961,0.9986,0.9961,0.9975
25,11,0.9979,1.0004,0.9958,0.997
26,11,0.9971,0.9997,0.9958,0.9992
27,11,1.0002,1.0066,1.0002,1.0038
28,11,1.0036,1.0069,1.0015,1.0034
29,11,1.0038,1.0057,1.0014,1.0014
30,11,1.0017,1.0048,1.0016,1.0045
31,11,1.0046,1.009,1.0046,1.0063
32,11,1.0063,1.0074,1.0023,1.0024
33,11,1.0019,1.0044,1.0007,1.003
34,11,1.0029,1.0031,0.9948,0.9961
35,11,0.996,0.9975,0.9936,0.9973
36,11,0.9976,0.9976,0.9949,0.9958
37,11,0.9962,0.9962,0.9898,0.9901
38,11,0.9899,0.9912,0.9877,0.9894
39,11,0.9893,0.9902,0.9828,0.9835
40,11,0.9835,0.9863,0.9816,0.9856
41,11,0.9852,0.9853,0.9784,0.979
